Patient Name: EQUIPO 4 2025, QA
Patient ID: Eq4-2025
Plan: PerfDiag
Course: C-Fisica
Date: Friday, August 07, 2026 2:43:28 PM
Exported by: paberbuj

Start: (-29.79, -25.09, -29.57)
End:   (30.02, -25.09, 29.79)

	Campo 1
-18.067809	140.283646
-18.042804	140.296021
-18.017798	140.308061
-17.992793	140.319765
-17.967788	140.331133
-17.942782	140.341731
-17.917777	140.351825
-17.892771	140.361245
-17.867766	140.370299
-17.842760	140.378989
-17.817755	140.387313
-17.792750	140.395272
-17.767744	140.402866
-17.742739	140.410095
-17.717733	140.416959
-17.692728	140.423458
-17.667723	140.429591
-17.642717	140.435360
-17.617712	140.440763
-17.592706	140.445254
-17.567701	140.449062
-17.542696	140.451456
-17.517690	140.453354
-17.492685	140.454930
-17.467679	140.456186
-17.442674	140.457121
-17.417669	140.457735
-17.392663	140.458029
-17.367658	140.458002
-17.342652	140.457654
-17.317647	140.456985
-17.292641	140.455995
-17.267636	140.454685
-17.242631	140.453181
-17.217625	140.451621
-17.192620	140.449997
-17.167614	140.448325
-17.142609	140.446583
-17.117604	140.444773
-17.092598	140.442894
-17.067593	140.440946
-17.042587	140.438928
-17.017582	140.436842
-16.992577	140.434687
-16.967571	140.432463
-16.942566	140.430169
-16.917560	140.427807
-16.892555	140.425542
-16.867550	140.423500
-16.842544	140.421356
-16.817539	140.419039
-16.792533	140.416680
-16.767528	140.414278
-16.742523	140.411834
-16.717517	140.409347
-16.692512	140.406818
-16.667506	140.404246
-16.642501	140.401632
-16.617495	140.398975
-16.592490	140.396276
-16.567485	140.393534
-16.542479	140.390829
-16.517474	140.388330
-16.492468	140.385826
-16.467463	140.383094
-16.442458	140.380387
-16.417452	140.377706
-16.392447	140.375050
-16.367441	140.372421
-16.342436	140.369816
-16.317431	140.367238
-16.292425	140.364685
-16.267420	140.362158
-16.242414	140.359656
-16.217409	140.357180
-16.192404	140.354545
-16.167398	140.351511
-16.142393	140.348614
-16.117387	140.345510
-16.092382	140.342483
-16.067376	140.339533
-16.042371	140.336658
-16.017366	140.333861
-15.992360	140.331140
-15.967355	140.328495
-15.942349	140.325927
-15.917344	140.323436
-15.892339	140.321021
-15.867333	140.318682
-15.842328	140.316342
-15.817322	140.313789
-15.792317	140.311442
-15.767312	140.308846
-15.742306	140.306465
-15.717301	140.304357
-15.692295	140.302519
-15.667290	140.300954
-15.642285	140.299660
-15.617279	140.298638
-15.592274	140.297887
-15.567268	140.297408
-15.542263	140.297201
-15.517257	140.297265
-15.492252	140.297613
-15.467247	140.298366
-15.442241	140.299427
-15.417236	140.300828
-15.392230	140.302483
-15.367225	140.304368
-15.342220	140.306481
-15.317214	140.308823
-15.292209	140.311395
-15.267203	140.314195
-15.242198	140.317225
-15.217193	140.320484
-15.192187	140.323972
-15.167182	140.327689
-15.142176	140.331633
-15.117171	140.335402
-15.092166	140.339405
-15.067160	140.343279
-15.042155	140.346924
-15.017149	140.350655
-14.992144	140.354471
-14.967139	140.358374
-14.942133	140.362362
-14.917128	140.366437
-14.892122	140.370597
-14.867117	140.374843
-14.842111	140.379175
-14.817106	140.383592
-14.792101	140.388096
-14.767095	140.389549
-14.742090	140.390686
-14.717084	140.390573
-14.692079	140.387835
-14.667074	140.385060
-14.642068	140.382247
-14.617063	140.379397
-14.592057	140.376509
-14.567052	140.373583
-14.542047	140.370620
-14.517041	140.367619
-14.492036	140.364581
-14.467030	140.361505
-14.442025	140.358391
-14.417020	140.352229
-14.392014	140.345444
-14.367009	140.338252
-14.342003	140.328374
-14.316998	140.318559
-14.291992	140.308806
-14.266987	140.299115
-14.241982	140.289486
-14.216976	140.279920
-14.191971	140.270416
-14.166965	140.260975
-14.141960	140.251596
-14.116955	140.242279
-14.091949	140.233025
-14.066944	140.223099
-14.041938	140.213083
-14.016933	140.203235
-13.991928	140.193121
-13.966922	140.183167
-13.941917	140.173406
-13.916911	140.163837
-13.891906	140.154460
-13.866901	140.145276
-13.841895	140.136284
-13.816890	140.127484
-13.791884	140.118877
-13.766879	140.110463
-13.741873	140.102241
-13.716868	140.094288
-13.691863	140.086638
-13.666857	140.079266
-13.641852	140.072066
-13.616846	140.065107
-13.591841	140.058427
-13.566836	140.052027
-13.541830	140.045906
-13.516825	140.040064
-13.491819	140.034501
-13.466814	140.029218
-13.441809	140.024214
-13.416803	140.019489
-13.391798	140.015043
-13.366792	140.010793
-13.341787	140.006759
-13.316782	140.003004
-13.291776	139.999438
-13.266771	139.996048
-13.241765	139.992900
-13.216760	139.989995
-13.191755	139.987332
-13.166749	139.984911
-13.141744	139.982733
-13.116738	139.980798
-13.091733	139.979104
-13.066727	139.977654
-13.041722	139.976445
-13.016717	139.975286
-12.991711	139.974164
-12.966706	139.973278
-12.941700	139.972447
-12.916695	139.971488
-12.891690	139.970722
-12.866684	139.970149
-12.841679	139.969767
-12.816673	139.969579
-12.791668	139.969582
-12.766663	139.969778
-12.741657	139.970167
-12.716652	139.970748
-12.691646	139.971521
-12.666641	139.971781
-12.641636	139.971161
-12.616630	139.970683
-12.591625	139.969886
-12.566619	139.966755
-12.541614	139.963688
-12.516608	139.960683
-12.491603	139.957742
-12.466598	139.954864
-12.441592	139.952049
-12.416587	139.949298
-12.391581	139.946609
-12.366576	139.943984
-12.341571	139.941422
-12.316565	139.937770
-12.291560	139.931729
-12.266554	139.925756
-12.241549	139.919853
